Statistic,Current,Wk,Trend,Change,Source
WTI Crude,71.83,7.24,↑,11.2%,Barchart
Natural Gas,3.75,-0.03,↓,-0.8%,Barchart
Gasoline Prices,3.47,0.36,↑,11.7%,EIA
Oil Service Sector Index,63.38,4.46,↑,7.6%,Yahoo
North American Rigs,693,20,↑,3.0%,Baker Hughes
United States Rigs,555,-4,↓,-0.7%,Baker Hughes
US Crude Oil Inventory,432.00,-0.40,↓,-0.1%,EIA
