Time,Last,Change,%Chg,Week
07/29/22,971.0,18.0,1.9,30
07/22/22,953.0,6.0,0.6,29
07/15/22,947.0,20.0,2.2,28
07/08/22,927.0,11.0,1.2,27
07/01/22,916.0,9.0,1.0,26
06/24/22,907.0,11.0,1.2,25
06/17/22,896.0,22.0,2.5,24
06/10/22,874.0,30.0,3.6,23
06/03/22,844.0,14.0,1.7,22
05/27/22,830.0,14.0,1.7,21
05/20/22,816.0,14.0,1.7,20
05/13/22,802.0,6.0,0.8,19
05/06/22,796.0,3.0,0.4,18
04/29/22,793.0,-3.0,-0.4,17
04/22/22,796.0,0.0,0.0,16
04/14/22,796.0,-4.0,-0.5,15
04/08/22,800.0,3.0,0.4,14
04/01/22,797.0,-13.0,-1.6,13
03/25/22,810.0,-29.0,-3.5,12
03/18/22,839.0,-30.0,-3.5,11
03/11/22,869.0,2.0,0.2,10
03/04/22,867.0,-7.0,-0.8,9
02/25/22,874.0,9.0,1.0,8
02/18/22,865.0,11.0,1.3,7
02/11/22,854.0,23.0,2.8,6
02/04/22,831.0,4.0,0.5,5
01/28/22,827.0,11.0,1.3,4
01/21/22,816.0,24.0,3.0,3
01/14/22,792.0,63.0,8.6,2
01/07/22,729.0,729.0,0.0,1
