Time,Last,Change,%Chg,Week
06/03/22,727.0,0.0,0.0,
05/27/22,727.0,-1.0,-0.1,
05/20/22,728.0,14.0,2.0,
05/13/22,714.0,9.0,1.3,
05/06/22,705.0,7.0,1.0,
04/29/22,698.0,3.0,0.4,
04/22/22,695.0,2.0,0.3,
04/14/22,693.0,4.0,0.6,
04/08/22,689.0,16.0,2.4,
04/01/22,673.0,3.0,0.4,
03/25/22,670.0,7.0,1.1,
03/18/22,663.0,0.0,0.0,
03/11/22,663.0,13.0,2.0,
03/04/22,650.0,0.0,0.0,
02/25/22,650.0,5.0,0.8,
02/18/22,645.0,10.0,1.6,
02/11/22,635.0,22.0,3.6,
02/04/22,613.0,3.0,0.5,
01/28/22,610.0,6.0,1.0,
01/21/22,604.0,3.0,0.5,
01/14/22,601.0,13.0,2.2,
01/07/22,588.0,588.0,0.0,
